objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
40413,218,Комфорт,Монолит-кирпич,1,Нет,0,C
40371,605,Типовой,Другое,1,Нет,0,A+
40331,341,Комфорт,Монолит-кирпич,1,Нет,0,A
40330,649,Комфорт,Монолит-кирпич,1,Нет,40,A
40253,178,Комфорт,Монолит-кирпич,0,Нет,0,C
40252,53,Комфорт,Монолит-кирпич,0,Нет,0,A
40229,121,Типовой,Другое,1,Нет,0,A+
40228,132,Типовой,Другое,1,Нет,0,A+
40115,1032,Комфорт,Другое,1,Нет,0,B
40112,359,Комфорт,Другое,1,Нет,0,B
40111,553,Комфорт,Другое,1,Нет,0,B
40057,96,Комфорт,Панель,1,Нет,0,B
39985,149,Типовой,Панель,1,Нет,0,A
39662,211,Комфорт,Панель,0,Нет,80,D
39661,429,Типовой,Панель,1,Есть,0,B
39660,71,Типовой,Панель,1,Есть,0,B
39312,65,Комфорт,Монолит-кирпич,1,Нет,20,B
39144,767,Комфорт,Монолит-кирпич,1,Нет,0,B
39019,44,Комфорт,Панель,0,Нет,0,B
39018,43,Комфорт,Панель,0,Нет,0,B
39017,76,Комфорт,Панель,0,Нет,0,B
39016,62,Комфорт,Панель,0,Нет,0,B
39015,73,Комфорт,Панель,0,Нет,0,B
39014,102,Комфорт,Панель,0,Нет,0,B
39010,382,Комфорт,Монолит-кирпич,1,Нет,0,C
39009,315,Комфорт,Монолит-кирпич,1,Нет,0,C
39008,363,Комфорт,Монолит-кирпич,1,Нет,258,C
39007,176,Комфорт,Монолит-кирпич,1,Нет,0,C
38921,331,Типовой,Другое,1,Нет,0,A
38781,355,Типовой,Панель,1,Нет,0,B
38124,245,Комфорт,Монолит-кирпич,1,Нет,0,B
38123,212,Комфорт,Монолит-кирпич,1,Нет,0,B
38122,224,Комфорт,Монолит-кирпич,1,Нет,0,B
38105,504,Комфорт,Монолит-кирпич,1,Нет,0,B
38102,153,Комфорт,Другое,0,Нет,0,B
38101,69,Комфорт,Другое,0,Нет,0,B
38030,62,Комфорт,Другое,0,Нет,0,B
38029,230,Комфорт,Другое,0,Нет,0,B
38028,47,Комфорт,Другое,0,Нет,0,B
38027,120,Комфорт,Другое,0,Нет,0,A
38026,435,Комфорт,Другое,0,Нет,0,C
38025,452,Комфорт,Другое,0,Нет,0,C
38024,473,Комфорт,Другое,0,Нет,0,C
38023,330,Комфорт,Другое,0,Нет,0,C
37727,330,Комфорт,Другое,1,Есть,0,C
37726,493,Комфорт,Другое,1,Есть,234,C
37725,176,Комфорт,Монолит,1,Есть,0,B
37724,105,Комфорт,Монолит-кирпич,1,Есть,0,A
